cliente;docnum;fecha;na;codprod
CN01;1234;2/01/1992;111;BREAD
CN02;1234;2/01/1992;222;MILK
CN03;2345;6/02/1994;333;BREAD
CN04;2345;6/02/1994;444;DIAPERS
CN05;2345;6/02/1994;555;BEER
CN06;2345;6/02/1994;666;EGGS
CN07;3456;14/05/1998;777;MILK
CN08;3456;14/05/1998;888;DIAPERS
CN09;3456;14/05/1998;999;BEER
CN10;3456;14/05/1998;1010;COLA
CN11;4567;21/07/2000;1111;BREAD
CN12;4567;21/07/2000;1212;MILK
CN13;4567;21/07/2000;1313;DIAPERS
CN14;4567;21/07/2000;1414;BEER
CN15;5678;31/10/2008;1515;BREAD
CN16;5678;31/10/2008;1616;MILK
CN17;5678;31/10/2008;1717;DIAPERS
CN18;5678;31/10/2008;1818;COLA
